area_type,location,size,total_sqft,bath,balcony,price
1,Hennur Road,3.0,2089.0,3.0,2.0,140.0
1,Kothannur,2.0,1206.0,2.0,1.0,48.23
1,Kalena Agrahara,2.0,1150.0,2.0,3.0,40.0
2,Cholanayakanahalli,3.0,2511.0,3.0,3.0,205.0
2,Kaval Byrasandra,2.0,460.0,1.0,0.0,22.0
1,Kodanda Reddy Layout,3.0,1660.0,2.0,2.0,105.0
1,Yelahanka,2.0,1326.0,2.0,2.0,78.0
1,Garudachar Palya,3.0,1325.0,2.0,2.0,60.8
1,EPIP Zone,3.0,1499.0,5.0,2.0,102.0
2,Hegde Nagar,6.0,3000.0,7.0,2.0,210.0
1,Kanakpura Road,3.0,1665.0,3.0,2.0,88.0
1,Dasanapura,2.0,708.0,2.0,2.0,37.0
1,Kasavanhalli,2.0,1060.0,2.0,2.0,58.06
4,Rajaji Nagar,6.0,710.0,6.0,3.0,160.0
2,Sanjay nagar,2.0,1000.0,2.0,2.0,70.0
1,Electronic City,2.0,1000.0,2.0,1.0,28.88
1, Mysore Highway,3.0,1450.0,2.0,2.0,70.0
4,ISRO Layout,4.0,1200.0,4.0,2.0,155.0
1,Thanisandra,2.0,1296.0,2.0,3.0,80.0
1,Domlur,3.0,1540.0,3.0,2.0,90.0
1,Sarjapura - Attibele Road,3.0,1330.0,2.0,1.0,48.0
2,Devasthanagalu,2.0,1200.0,2.0,1.0,65.0
2,T Dasarahalli,3.0,1200.0,3.0,1.0,90.0
1,Yeshwanthpur,3.0,2502.0,3.0,3.0,138.0
2,Chandapura,2.0,650.0,1.0,1.0,17.0
4,Kothanur,3.0,2400.0,2.0,1.0,150.0
1,Green View Layout,2.0,1007.0,2.0,2.0,43.0
1,Shantiniketan Layout,2.0,1200.0,2.0,2.0,50.0
1,Peenya,2.0,966.0,2.0,2.0,49.9
2,Nagarbhavi,3.0,1630.0,2.0,1.0,98.0
2,Jalahalli West,2.0,782.0,2.0,2.0,55.68
1,Devanahalli,2.0,1260.0,2.0,2.0,66.78
1,Lakshmiamma Garden,3.0,1800.0,3.0,3.0,120.0
1,Byatarayanapura,3.0,1413.0,2.0,2.0,75.0
1,Whitefield,2.0,1116.0,2.0,1.0,51.91
1,Electronic City,3.0,1530.0,2.0,1.0,45.9
2,Sarjapur  Road,3.0,2497.0,3.0,2.0,140.0
1,Kengeri,3.0,1540.0,2.0,3.0,64.0
1,Thanisandra,3.0,1436.0,3.0,1.0,74.75
1,Malleshwaram,2.0,1100.0,2.0,2.0,75.0
4,Hennur Road,2.0,276.0,3.0,3.0,23.0
1,Thanisandra,3.0,1427.0,3.0,2.0,120.0
1,Akshaya Nagar,3.0,2061.0,3.0,1.0,200.0
2,Shampura,4.0,2650.0,4.0,2.0,150.0
1,Devanahalli,3.0,1282.0,2.0,2.0,68.52
2,Kadugodi,2.0,1050.0,2.0,1.0,34.0
2,LB Shastri Nagar,3.0,1600.0,3.0,2.0,65.0
1,Vajarahalli,2.0,945.0,2.0,1.0,54.0
1,Hormavu,2.0,1500.0,2.0,1.0,78.0
4,Vishwapriya Layout,7.0,950.0,7.0,0.0,115.0
2,Peenya,3.0,1870.0,3.0,3.0,110.0
4,Sarjapur,3.0,1600.0,3.0,1.0,75.0
1,Electronic City,2.0,880.0,1.0,1.0,16.5
4,Ramaswamy Palya - Kammanahalli Main Road,4.0,1200.0,4.0,0.0,210.0
1,Kudlu Gate,3.0,1535.0,3.0,2.0,83.0
2,Kanakpura Road,2.0,950.0,2.0,1.0,57.0
1,Devanahalli,2.0,1360.0,2.0,1.0,65.0
1,8th Phase JP Nagar,2.0,1074.0,2.0,0.0,54.005
1,Bommasandra Industrial Area,3.0,1280.0,3.0,1.0,50.4
1,Chandra Layout,3.0,1260.0,2.0,2.0,85.05
1,Yelahanka,5.0,3050.0,5.0,1.0,213.0
1,Kasavanhalli,3.0,1564.0,3.0,1.0,105.0
1,ISRO Layout,2.0,1000.0,2.0,1.0,60.0
1,Anandapura,2.0,1167.0,2.0,1.0,43.76
1,Kengeri Satellite Town,2.0,890.0,2.0,1.0,35.0
1,Basavanapura,3.0,1612.0,3.0,3.0,46.74
1,Mysore Road,3.0,1710.0,4.0,2.0,91.31
1,Kannamangala,2.0,957.0,2.0,1.0,58.0
1, Devarachikkanahalli,3.0,1250.0,2.0,3.0,44.0
1,Hulimavu,2.0,1125.0,2.0,2.0,50.0
1,Electronic City Phase II,2.0,1020.0,2.0,1.0,30.6
1,Kalena Agrahara,2.0,1200.0,2.0,2.0,50.0
1,Thanisandra,3.0,1735.0,3.0,3.0,135.0
1,Thanisandra,3.0,2050.0,3.0,1.0,145.0
2,Yarandahalli,3.0,1350.0,2.0,3.0,48.0
1,Hosa Road,2.0,1063.0,2.0,1.0,32.0
1,Keshava Nagar,3.0,1904.0,3.0,1.0,150.0
1,RMV Extension,3.0,2000.0,3.0,1.0,175.0
1,Sarjapur,2.0,1242.0,2.0,0.0,43.49
1,Tejaswini Nagar,3.0,1425.0,2.0,2.0,75.0
1,Electronic City,3.0,1500.0,2.0,1.0,64.5
2,Electronic City,2.0,1060.0,2.0,1.0,60.0
2,Jai Bheema Nagar,3.0,1470.0,2.0,2.0,70.0
1,Kothnur Narayanapura,6.0,1300.0,6.0,0.0,99.0
1,Attibele,1.0,450.0,1.0,1.0,11.0
1,Electronic City,2.0,1152.0,2.0,1.0,64.5
1,Electronic City,3.0,1350.0,2.0,1.0,56.0
1,CV Raman Nagar,3.0,1550.0,3.0,3.0,65.0
4,CHIKKATIRUPATHI,3.0,1500.0,3.0,2.0,100.0
4,Kumaraswami Layout,5.0,600.0,3.0,2.0,85.0
4,Nagavara,1.0,400.0,1.0,0.0,14.0
1,Malleshwaram,1.0,705.0,1.0,2.0,67.0
2,Electronic City,2.0,770.0,1.0,1.0,36.0
1,Hulimavu,2.0,1242.0,2.0,3.0,51.0
1,Hebbal Kempapura,3.0,1700.0,3.0,2.0,155.0
1,Thanisandra,3.0,2144.0,3.0,2.0,145.0
1,Vijayanagar,3.0,1704.0,3.0,2.0,110.0
1,Electronic City,2.0,1070.0,2.0,1.0,52.0
1,Jakkuru Layout,2.0,1340.0,2.0,2.0,55.7
2,Electronic City,2.0,1025.0,2.0,1.0,46.0
1,KR Puram,2.0,1278.0,2.0,0.0,56.8
1,Marathahalli,2.0,1200.0,2.0,2.0,52.0
2,Kanakpura Road,4.0,2250.0,4.0,1.0,110.0
1,Pattandur Agrahara,3.0,1550.0,2.0,3.0,80.0
1,Marathahalli,2.0,1200.0,2.0,2.0,60.0
1,Yelahanka,2.0,1327.0,2.0,2.0,98.0
1,Kothanur,2.0,1186.0,2.0,2.0,58.0
2,MS Pallya,3.0,1783.0,3.0,1.0,115.0
1,HSR Layout,3.0,1400.0,3.0,2.0,56.0
1,Nagasandra,2.0,980.0,2.0,1.0,48.0
1,EPIP Zone,2.0,1285.0,2.0,2.0,82.0
1,Langford Town,3.0,912.0,2.0,1.0,70.0
2,Whitefield,2.0,1225.0,2.0,2.0,47.6
1,Whitefield,2.0,1075.0,2.0,1.0,53.0
2,Kadugodi,3.0,1260.0,2.0,2.0,54.0
1,Yelahanka,3.0,1282.0,2.0,2.0,48.7
1,Kogilu,3.0,1909.0,3.0,2.0,88.0
1,Panathur,2.0,1359.0,2.0,1.0,87.0
2,Nagondanahalli,2.0,1207.0,2.0,2.0,43.5
4,Padmanabhanagar,4.0,1736.0,6.0,0.0,190.0
1,Kammasandra,3.0,1595.0,3.0,2.0,65.0
2,"Off Sarjapur Road, ",3.0,1798.0,3.0,2.0,89.0
1,Electronics City Phase 1,3.0,1475.0,3.0,2.0,78.29
1,Tala Cauvery Layout,3.0,1580.0,3.0,3.0,100.0
1,Dasarahalli,2.0,1295.0,2.0,1.0,65.0
2,Magadi Road,6.0,3600.0,6.0,0.0,141.0
1,Electronic City,1.0,589.0,1.0,1.0,27.0
1,Ngef Layout,3.0,1415.0,3.0,3.0,78.0
1,Sarjapur  Road,3.0,1787.0,3.0,2.0,98.29
1,Sarjapur  Road,3.0,1787.0,3.0,2.0,125.0
1,Koramangala,3.0,1475.0,2.0,3.0,90.0
2,"Lakshminarayanapura, Electronic City Phase 2",4.0,2000.0,4.0,1.0,75.5
1,Sarjapur  Road,2.0,984.0,2.0,1.0,44.28
2,7th Phase JP Nagar,2.0,1080.0,2.0,2.0,72.0
4,Shantiniketan Layout,2.0,1500.0,2.0,1.0,115.0
1,Hebbal,3.0,1900.0,3.0,2.0,119.0
1,Dommasandra,2.0,805.0,2.0,1.0,22.14
1,Budigere,2.0,1153.0,2.0,2.0,56.4
1,Dodda Nekkundi Extension,2.0,1148.0,2.0,2.0,60.0
1,Mylasandra,2.0,1110.0,2.0,2.0,55.0
2,Electronic City,2.0,1100.0,2.0,2.0,42.0
1,Kalyan nagar,2.0,1290.0,2.0,2.0,110.0
1,Dr Shivarama Karantha Nagar,3.0,1500.0,2.0,1.0,65.0
1,Bank Of Baroda Colony,2.0,1080.0,2.0,2.0,39.0
1,Vijayanagar,3.0,1933.0,3.0,1.0,129.0
2,Ramamurthy Nagar,5.0,3500.0,5.0,2.0,150.0
2,Kullappa Colony,2.0,1060.0,2.0,2.0,60.0
1,Chandapura,1.0,645.0,1.0,1.0,16.45
4,Mukkutam Nagar,8.0,2600.0,8.0,2.0,180.0
1,Ashwath Nagar,3.0,1644.0,3.0,3.0,84.0
1,Ncpr Industrial Layout,2.0,1285.0,2.0,3.0,72.5
4,Electronic City,3.0,1200.0,3.0,1.0,90.0
1,Electronic City,2.0,910.0,2.0,1.0,40.0
1,Kothanur,3.0,1577.0,3.0,1.0,70.0
1,OMBR Layout,3.0,2420.0,3.0,2.0,185.0
1,Chandapura,2.0,800.0,1.0,1.0,20.0
2,Anand Nagar,2.0,1060.0,2.0,2.0,55.0
1,7th Phase JP Nagar,2.0,1270.0,2.0,2.0,93.0
1,Shree Ananth Nagar Layout,2.0,900.0,2.0,2.0,22.5
2,Kundalahalli Colony,2.0,1280.0,2.0,1.0,69.0
4,Horamavu Agara,4.0,1200.0,2.0,0.0,95.0
2,Sarjapur  Road,2.0,1025.0,2.0,2.0,36.0
1,Electronic City,2.0,1108.0,2.0,1.0,63.0
1,Coffee Board Layout,3.0,3045.0,3.0,2.0,170.0
1,Vijayanagar,3.0,1500.0,3.0,2.0,75.5
1,Raja Rajeshwari Nagar,2.0,1295.0,2.0,2.0,43.9
1,Budigere,2.0,1162.0,2.0,1.0,59.9
1,Sarjapur  Road,2.0,1035.0,2.0,2.0,49.2
2,Attibele,4.0,1600.0,4.0,0.0,52.8
1,KUDLU MAIN ROAD,3.0,1464.0,3.0,2.0,46.0
1,Hennur Road,3.0,1866.0,2.0,2.0,61.58
1,Geleyara Balaga Layout,2.0,700.0,1.0,1.0,26.0
1,Kalena Agrahara,3.0,1804.0,3.0,2.0,120.0
1,Sarjapur,2.0,913.0,2.0,1.0,32.0
1,Talaghattapura,3.0,1868.0,3.0,2.0,131.0
2,Kengeri Satellite Town,2.0,883.0,2.0,1.0,45.0
4,Sundara Nagar,2.0,900.0,2.0,1.0,110.0
1,Kogilu,3.0,1664.0,2.0,3.0,73.95
1,Hegde Nagar,3.0,2026.0,3.0,2.0,132.0
1,Balagere,2.0,1210.0,2.0,1.0,80.9
1,Kadugodi,3.0,1762.0,3.0,3.0,91.45
1,Jigani,3.0,1252.0,3.0,3.0,55.0
2,Gollarapalya Hosahalli,2.0,861.0,2.0,1.0,34.5
2,7th Phase JP Nagar,3.0,1420.0,2.0,1.0,100.0
2,Electronics City Phase 1,3.0,1490.0,3.0,1.0,78.8
1,Bisuvanahalli,3.0,1075.0,2.0,1.0,46.0
1,Old Madras Road,3.0,1425.0,2.0,2.0,94.0
2,Kalena Agrahara,2.0,1200.0,2.0,1.0,40.0
1,Kaggadasapura,3.0,1280.0,2.0,2.0,56.0
1,Silver Springs Layout,2.0,1084.0,2.0,2.0,50.0
1,Chandapura,2.0,1015.0,2.0,2.0,25.88
1,Kanakpura Road,2.0,1017.0,2.0,1.0,51.25
1,Haralur Road,2.0,1027.0,2.0,2.0,44.0
1,Electronic City Phase II,2.0,1069.0,2.0,2.0,45.0
1,Hebbal,2.0,1349.0,2.0,1.0,98.2
1,9th Phase JP Nagar,2.0,1005.0,2.0,1.0,50.0
1,Jakkur,2.0,1417.0,2.0,3.0,75.0
4,TC Palaya,3.0,1475.0,3.0,1.0,98.0
3,Maruthi Sevanagar,2.0,950.0,2.0,2.0,47.0
1,RMV 2nd Stage,4.0,2000.0,4.0,0.0,120.0
4,Giri Nagar,3.0,880.0,3.0,1.0,140.0
1,Sarjapur  Road,4.0,1863.0,3.0,2.0,104.0
1,Singasandra,2.0,1010.0,2.0,1.0,29.5
1,Kalena Agrahara,3.0,1425.0,2.0,1.0,70.0
1,Vijayanagar,3.0,1450.0,3.0,0.0,100.0
1,Kothanur,3.0,1847.0,3.0,2.0,105.0
1,AECS Layout,2.0,1100.0,2.0,3.0,45.0
1,Kanakpura Road,1.0,525.0,1.0,1.0,26.0
1,Mallasandra,3.0,1665.0,3.0,2.0,95.0
1,Begur,4.0,1664.0,4.0,3.0,65.0
1,JP Nagar,3.0,1850.0,3.0,3.0,150.0
1,Panathur,2.0,1438.0,2.0,3.0,100.0
1,Sunder Ram Shetty Nagar,3.0,1560.0,3.0,3.0,115.0
1,Yelahanka,2.0,1350.0,2.0,1.0,55.55
1,Kanakpura Road,3.0,1550.0,3.0,3.0,67.0
1,Malleshpalya,2.0,1140.0,2.0,2.0,46.5
4,Srirampura,5.0,1200.0,5.0,2.0,180.0
1,Kodathi,2.0,850.0,2.0,2.0,27.0
1,Whitefield,2.0,1280.0,2.0,2.0,75.0
2,Munnekollal,2.0,1170.0,2.0,2.0,52.0
1,Motappa Layout,2.0,1113.0,2.0,1.0,51.0
1,Hennur Road,2.0,1385.0,2.0,1.0,83.09
1,Electronic City,2.0,1128.0,2.0,1.0,65.0
4,Marathahalli,2.0,1200.0,2.0,2.0,128.0
4,Akshaya Vana,4.0,1200.0,4.0,3.0,165.0
1,Haralur Road,3.0,1464.0,3.0,2.0,56.0
1,Manayata Tech Park,2.0,1200.0,2.0,2.0,55.0
1,Kaval Byrasandra,2.0,1200.0,2.0,2.0,52.0
1,Kaggalipura,3.0,1150.0,2.0,1.0,55.0
2,Basavanna Nagar,3.0,1645.0,3.0,2.0,95.0
1,Sarjapur  Road,2.0,1000.0,2.0,1.0,67.0
4,Haralur Road,4.0,2650.0,4.0,2.0,198.0
1,6th Phase JP Nagar,2.0,1192.0,2.0,2.0,74.0
1,Ulsoor,3.0,2135.0,3.0,2.0,215.0
1,Whitefield,2.0,1173.0,2.0,1.0,58.0
2,Uttarahalli,2.0,1020.0,2.0,2.0,45.0
1,Somasundara Palya,3.0,1600.0,3.0,3.0,64.0
4,T.C PALYA,2.0,1200.0,2.0,0.0,79.0
3,Muneshwara Nagar,2.0,1230.0,2.0,3.0,48.0
1, Devarachikkanahalli,2.0,1250.0,2.0,2.0,40.0
1,Kalena Agrahara,2.0,1325.0,2.0,2.0,76.0
2,7th Phase JP Nagar,3.0,1850.0,3.0,1.0,150.0
1,Basaveshwara Nagar,2.0,1200.0,2.0,2.0,65.0
4,Bull Temple Road,3.0,1350.0,2.0,0.0,140.0
1,Bommasandra,3.0,1260.0,3.0,1.0,49.36
1,Prashanth Nagar,3.0,1800.0,3.0,0.0,150.0
4,Suragajakkanahalli,3.0,11.0,3.0,2.0,74.0
2,Ardendale,2.0,1100.0,2.0,1.0,43.25
1,Harlur,2.0,1508.0,2.0,1.0,77.0
3,Sampigehalli,3.0,1592.0,3.0,2.0,75.0
1,Akshaya Nagar,2.0,1388.0,2.0,3.0,57.0
1,Electronic City Phase II,1.0,630.0,1.0,1.0,28.35
1,Banashankari3rd stage bigbazar,3.0,1762.0,3.0,1.0,125.0
1,Bagalur Main Road,2.0,950.0,2.0,2.0,50.0
1,Magadi Road,2.0,1116.0,2.0,1.0,50.0
1,Narayanapura,2.0,1308.0,2.0,2.0,89.04
1,MS Pallya,3.0,1200.0,3.0,0.0,90.0
2,Bannerghatta Road,1.0,500.0,1.0,1.0,18.5
1,Hennur,2.0,1075.0,2.0,1.0,52.0
1,Chandapura,1.0,530.0,1.0,0.0,11.66
2,Bellandur,2.0,1205.0,2.0,3.0,66.0
1,5th Phase JP Nagar,2.0,1075.0,2.0,2.0,60.0
2,KR Puram,2.0,930.0,2.0,2.0,39.0
1,Balagere,2.0,1380.0,2.0,1.0,60.0
1,Hebbal,4.0,2483.0,5.0,2.0,212.0
2,Kodigehaali,2.0,1166.0,2.0,2.0,55.0
1,Bannerghatta Road,2.0,1050.0,2.0,1.0,65.0
1,Begur Road,2.0,1200.0,2.0,2.0,46.8
1,Lakshminarayana Pura,3.0,1600.0,2.0,1.0,108.0
1,Billekahalli,3.0,1935.0,3.0,2.0,110.0
1,8th Phase JP Nagar,1.0,451.0,1.0,0.0,29.9
1,Electronic City,3.0,1800.0,3.0,2.0,95.0
1,Jalahalli,3.0,1400.0,3.0,0.0,77.0
1,Hegde Nagar,3.0,1801.0,3.0,2.0,115.0
4,Anekal,2.0,1200.0,1.0,1.0,36.0
1,Begur Road,2.0,1160.0,2.0,2.0,44.0
2,Kengeri,2.0,1000.0,2.0,1.0,25.0
1,Kanakpura Road,2.0,950.0,2.0,1.0,40.0
2,"Hoodi Circle, ",3.0,1629.0,3.0,2.0,79.0
2,Vijayanagar,3.0,1580.0,2.0,0.0,134.0
1,Vijayanagar,3.0,1826.0,3.0,2.0,121.0
2,7th Phase JP Nagar,2.0,1245.0,2.0,1.0,94.0
1,Raja Rajeshwari Nagar,2.0,1145.0,2.0,2.0,45.79
1,Sompura,2.0,825.0,2.0,1.0,33.0
1,Yeshwanthpur,3.0,1693.0,3.0,3.0,108.0
1,Electronics City Phase 1,2.0,1114.0,2.0,2.0,53.0
2,Ashirvad Colony,2.0,1460.0,2.0,1.0,58.0
2,Doddathoguru,2.0,1050.0,2.0,1.0,32.0
2,Dodda Nekkundi,2.0,1260.0,2.0,2.0,55.0
2,Hosur Road,2.0,1656.0,2.0,1.0,120.0
1,Chandapura,3.0,1208.0,3.0,1.0,45.0
1,Whitefield,3.0,1910.0,3.0,2.0,161.0
4,Battarahalli,2.0,1200.0,2.0,1.0,65.0
1,Gokula Extension,4.0,1200.0,4.0,1.0,175.0
1,7th Phase JP Nagar,2.0,1175.0,2.0,1.0,82.0
4,Kamakshipalya,2.0,1000.0,2.0,0.0,165.0
4,Bannerghatta Road,4.0,1200.0,2.0,0.0,125.0
4,Sultan Palaya,2.0,550.0,1.0,1.0,62.0
1,Kengeri,1.0,371.0,1.0,0.0,18.5
1,Kengeri,2.0,750.0,2.0,1.0,38.0
1,Kanakpura Road,3.0,1550.0,3.0,3.0,64.5
2,Amco Colony,3.0,1760.0,3.0,2.0,88.0
1,Billekahalli,2.0,1125.0,2.0,2.0,62.0
4,Nagarbhavi,3.0,1350.0,3.0,2.0,150.0
4,Anandapura,2.0,1000.0,2.0,1.0,55.0
2,Bommasandra Industrial Area,2.0,1090.0,2.0,2.0,31.48
4,TC Palaya,2.0,1200.0,2.0,0.0,60.0
1,Budigere,3.0,1991.0,4.0,2.0,103.0
1,Bommasandra,2.0,1060.0,2.0,1.0,26.5
1,Ambalipura,2.0,1105.0,2.0,1.0,75.0
2,Hoodi,2.0,985.0,2.0,2.0,67.0
4,Chandapura,6.0,1533.0,5.0,3.0,85.0
1,Balagere,3.0,1590.0,3.0,2.0,79.0
1,CV Raman Nagar,2.0,1120.0,2.0,2.0,55.0
1,Samethanahalli,2.0,1069.0,2.0,1.0,55.0
1,Marathahalli,3.0,1933.0,3.0,2.0,140.0
2,Hosur Road,2.0,1194.0,2.0,0.0,69.0
1,Brookefield,2.0,1150.0,2.0,3.0,69.0
1,Yelenahalli,2.0,1240.0,2.0,2.0,47.12
1,Raja Rajeshwari Nagar,2.0,1419.0,2.0,2.0,48.1
1,Suddaguntepalya,3.0,1450.0,3.0,2.0,55.0
1,Udayapur Village,3.0,1630.0,3.0,2.0,68.29
1,Dasanapura,2.0,708.0,1.0,1.0,40.0
4,Kasavanhalli,3.0,1000.0,4.0,3.0,110.0
1,Bellandur,2.0,1250.0,2.0,1.0,76.0
1,7th Phase JP Nagar,3.0,1400.0,2.0,1.0,95.0
1,Sarjapur  Road,3.0,1670.0,2.0,3.0,57.0
1,Ardendale,3.0,1750.0,3.0,2.0,100.0
1,Vittasandra,2.0,1404.0,2.0,1.0,71.0
1,Hoodi,3.0,1715.0,2.0,2.0,95.0
2,Electronic City,1.0,630.0,1.0,1.0,34.65
1,Harlur,3.0,1753.0,3.0,2.0,135.0
1,Hulimavu,3.0,1650.0,3.0,2.0,78.0
1,Raja Rajeshwari Nagar,2.0,1295.0,2.0,1.0,55.47
1,Sarjapur  Road,2.0,1346.0,2.0,1.0,74.03
4,Thippasandra,4.0,1200.0,4.0,2.0,200.0
1,Hormavu,2.0,1150.0,2.0,2.0,55.0
1,Chandapura,3.0,1190.0,2.0,2.0,30.35
1,AECS Layout,3.0,1620.0,3.0,2.0,98.0
1,Marathahalli,2.0,950.0,2.0,1.0,46.96
1,Harlur,3.0,2450.0,3.0,0.0,120.0
1,Electronic City Phase II,3.0,1220.0,2.0,1.0,35.23
1,Hoysalanagar,2.0,850.0,2.0,1.0,30.0
2,Padmanabhanagar,2.0,1020.0,2.0,2.0,63.0
2,Chikkalasandra,2.0,1100.0,2.0,2.0,50.0
1,Defence Colony,2.0,1150.0,2.0,2.0,126.0
1,Hebbal,3.0,1760.0,2.0,2.0,130.0
1,Ambalipura,3.0,1800.0,3.0,3.0,110.0
1,Akshaya Nagar,2.0,1070.0,2.0,1.0,54.0
4,Vidyaranyapura,2.0,1440.0,2.0,0.0,95.0
1,Amruthahalli,2.0,900.0,2.0,1.0,40.0
1,Whitefield,2.0,1130.0,2.0,1.0,42.16
1,Koramangala,2.0,1320.0,2.0,1.0,165.0
1,Kodigehalli,2.0,1270.0,2.0,1.0,98.0
2,Patelappa Layout,2.0,1200.0,2.0,1.0,62.0
1,NS Palya,2.0,1200.0,2.0,1.0,74.0
1,Subramanyapura,2.0,929.0,2.0,0.0,50.17
4,Basavangudi,4.0,1125.0,4.0,3.0,180.0
4,Kenchenahalli,5.0,500.0,3.0,2.0,65.0
4,3rd Block Hrbr Layout,5.0,1200.0,5.0,2.0,190.0
1,KUDLU MAIN ROAD,3.0,1464.0,3.0,2.0,56.0
4,Bank Avenue,4.0,2000.0,4.0,2.0,99.0
1,Chikkalasandra,2.0,1208.0,2.0,1.0,49.0
1,Hebbal Kempapura,2.0,1130.0,2.0,2.0,60.0
1,Surabhi Layout,3.0,1753.0,3.0,2.0,120.0
4,Banjara Layout,3.0,600.0,3.0,2.0,58.0
1,Hoodi,2.0,1196.0,2.0,2.0,94.42
2,5th Phase JP Nagar,2.0,1150.0,3.0,3.0,52.5
1,Electronic City,2.0,1128.0,2.0,1.0,63.0
1,Omkar Nagar,2.0,1000.0,2.0,1.0,53.0
1,Yelahanka,2.0,1035.0,2.0,1.0,45.0
2,Kereguddadahalli,2.0,950.0,2.0,1.0,32.0
1,Bisuvanahalli,3.0,1075.0,2.0,1.0,36.0
1,Whitefield,2.0,1040.0,2.0,1.0,48.5
4,Maragondanahalli,2.0,720.0,2.0,1.0,45.0
1,Lingadheeranahalli,3.0,1511.0,3.0,1.0,95.0
2,Silk Board,3.0,1300.0,3.0,1.0,58.0
1,Hoodi,3.0,1545.0,3.0,1.0,68.75
2,Shampura,1.0,375.0,2.0,0.0,26.0
1,Vidyaranyapura,2.0,1062.0,2.0,3.0,38.0
1,Kada Agrahara,2.0,1115.0,2.0,1.0,40.0
1,JP Nagar,2.0,1000.0,2.0,1.0,35.0
1,Kambipura,2.0,883.0,2.0,1.0,45.0
1,Sarjapur  Road,2.0,1195.0,2.0,1.0,70.0
